SL.NO,DESCRIPTION,RESPONSIBLE_AGENCY,QTY,DURATION,WEIGHT_KG,TOTAL_WEIGHT_KG,UNIT_RATE_INR,TOTAL_BUDGET,DATE,PROJECT_NAME,APPROVED_BY,CURRENCY
2748,Complete manufacturing of Supporting Bracket for ESP,Tetakisu,24495,One time,5.75,140846.25,603.73,14788366.35,2024-08-31,BHEL Trichy T2,Mani,INR
2749,Complete manufacturing of Foundation Bolt for ESP,Cando Engineering,3589,One time,18.08,64889.12,1229.83,4413859.87,2024-11-14,BHEL Ranipet L1,Srividhya,INR
2750,Complete manufacturing of Shaft for ESP,SriVidhya Fabricators,1259,One time,13.85,17437.15,822.0,1034898.0,2024-06-27,BHEL Trichy T2,Magesh,INR
2751,Complete manufacturing of Grip Coupling for ESP,Cando Engineering,2722,Monthly,21.26,57869.72,1731.6,4713415.2,2024-04-29,BHEL Ranipet L1,Kumar,INR
2752,Complete manufacturing of Grip Coupling for ESP,Cando Engineering,15252,Quarterly,3.78,57652.56,573.64,8749157.28,2024-05-23,BHEL Ranipet L1,Mani,INR
2753,Complete manufacturing of Grip Coupling for ESP,SriVidhya Fabricators,23092,Monthly,21.05,486086.6,580.62,13407677.04,2024-10-16,BHEL Ranipet L1,Magesh,INR
2754,Complete manufacturing of Shaft I for ESP,Cando Engineering,8370,Monthly,16.26,136096.2,166.02,1389587.4,2024-09-04,BHEL Haridwar P3,Kumar,INR
2755,Complete manufacturing of Shaft I for ESP,Sub Contractor,21284,One time,4.03,85774.52,590.24,12562668.16,2024-08-26,BHEL Ranipet L1,Kumar,INR
2756,Complete manufacturing of Pin Wheel 1 for ESP,SriVidhya Fabricators,5448,Monthly,10.05,54752.4,548.73,2989481.04,2024-10-21,BHEL Trichy T2,Magesh,INR
2757,Complete manufacturing of Shaft for ESP,Tetakisu,12728,One time,24.8,315654.4,1691.86,21533994.08,2025-02-10,BHEL Ranipet L1,Magesh,INR
2758,Complete manufacturing of Shaft I for ESP,Sub Contractor,9184,Monthly,16.32,149882.88,467.27,4291407.68,2024-08-02,BHEL Ranipet L1,Mani,INR
2759,Complete manufacturing of Supporting Bracket for ESP,Sub Contractor,1661,One time,7.98,13254.78,1075.39,1786222.79,2024-02-20,BHEL Haridwar P3,Ravi,INR
2760,Complete manufacturing of Shaft for ESP,Sub Contractor,16061,One time,4.16,66813.76,828.74,13310393.14,2024-12-21,BHEL Haridwar P3,Magesh,INR
2761,Complete manufacturing of Grip Coupling for ESP,Tetakisu,1651,One time,15.07,24880.57,1569.89,2591888.39,2024-05-01,BHEL Trichy T2,Ravi,INR
2762,Complete manufacturing of Pin Wheel 1 for ESP,Tetakisu,2796,Monthly,9.33,26086.68,848.08,2371231.68,2024-10-05,BHEL Haridwar P3,Mani,INR
2763,Complete manufacturing of Grip Coupling for ESP,Cando Engineering,15732,Quarterly,15.32,241014.24,108.55,1707708.6,2024-02-19,BHEL Trichy T2,Magesh,INR
2764,Complete manufacturing of Shaft for ESP,Cando Engineering,18951,One time,1.14,21604.14,949.72,17998143.72,2024-11-11,BHEL Trichy T2,Mani,INR
2765,Complete manufacturing of Shaft for ESP,Sub Contractor,21941,Quarterly,4.71,103342.11,232.37,5098430.17,2024-04-14,BHEL Haridwar P3,Ravi,INR
2766,Complete manufacturing of Supporting Bracket for ESP,Sub Contractor,24854,Monthly,12.08,300236.32,197.36,4905185.44,2024-07-18,BHEL Trichy T2,Magesh,INR
2767,Complete manufacturing of Shaft for ESP,Sub Contractor,1317,Quarterly,8.25,10865.25,1848.0,2433816.0,2025-01-31,BHEL Trichy T2,Ravi,INR
2768,Complete manufacturing of Foundation Bolt for ESP,Sub Contractor,16752,One time,14.45,242066.4,1116.96,18711313.92,2024-02-05,BHEL Trichy T2,Mani,INR
2769,Complete manufacturing of Bearings for ESP,Cando Engineering,10539,One time,10.47,110343.33,1967.34,20733796.26,2024-03-15,BHEL Ranipet L1,Srividhya,INR
2770,Complete manufacturing of Shaft I for ESP,Tetakisu,6518,Quarterly,4.03,26267.54,1313.49,8561327.82,2024-01-08,BHEL Ranipet L1,Srividhya,INR
2771,Complete manufacturing of Shaft for ESP,Tetakisu,19758,Quarterly,19.01,375599.58,326.74,6455728.92,2025-01-10,BHEL Haridwar P3,Mani,INR
2772,Complete manufacturing of Supporting Bracket for ESP,Cando Engineering,10497,Monthly,20.67,216972.99,1605.78,16855872.66,2024-08-30,BHEL Ranipet L1,Ravi,INR
2773,Complete manufacturing of Supporting Bracket for ESP,Sub Contractor,7323,Monthly,4.97,36395.31,1301.03,9527442.69,2024-06-29,BHEL Trichy T2,Mani,INR
2774,Complete manufacturing of Shaft for ESP,Tetakisu,15911,Quarterly,2.43,38663.73,957.96,15242101.56,2025-02-22,BHEL Trichy T2,Kumar,INR
2775,Complete manufacturing of Grip Coupling for ESP,Tetakisu,9358,Quarterly,20.77,194365.66,750.23,7020652.34,2024-10-03,BHEL Trichy T2,Mani,INR
2776,Complete manufacturing of Bearings for ESP,Sub Contractor,4806,One time,3.1,14898.6,1351.46,6495116.76,2024-06-12,BHEL Haridwar P3,Kumar,INR
2777,Complete manufacturing of Foundation Bolt for ESP,Sub Contractor,6094,Quarterly,13.74,83731.56,838.98,5112744.12,2025-01-22,BHEL Haridwar P3,Srividhya,INR
2778,Complete manufacturing of Pin Wheel 1 for ESP,SriVidhya Fabricators,8865,Quarterly,14.12,125173.8,1592.77,14119906.05,2024-09-20,BHEL Haridwar P3,Ravi,INR
2779,Complete manufacturing of Shaft for ESP,Tetakisu,15691,Quarterly,24.98,391961.18,1820.32,28562641.12,2024-09-13,BHEL Haridwar P3,Srividhya,INR
2780,Complete manufacturing of Shaft I for ESP,SriVidhya Fabricators,8980,One time,13.02,116919.6,499.91,4489191.8,2025-02-24,BHEL Haridwar P3,Kumar,INR
2781,Complete manufacturing of Grip Coupling for ESP,Sub Contractor,19239,One time,12.52,240872.28,1258.44,24211127.16,2024-10-17,BHEL Ranipet L1,Mani,INR
2782,Complete manufacturing of Bearings for ESP,Cando Engineering,1929,One time,10.39,20042.31,1487.11,2868635.19,2025-01-26,BHEL Haridwar P3,Magesh,INR
2783,Complete manufacturing of Bearings for ESP,Tetakisu,6967,Quarterly,24.5,170691.5,593.27,4133312.09,2024-05-17,BHEL Haridwar P3,Ravi,INR
2784,Complete manufacturing of Shaft I for ESP,SriVidhya Fabricators,1780,Monthly,4.36,7760.8,486.8,866504.0,2024-09-27,BHEL Trichy T2,Srividhya,INR
2785,Complete manufacturing of Shaft I for ESP,SriVidhya Fabricators,6643,One time,18.0,119574.0,68.97,458167.71,2024-02-03,BHEL Ranipet L1,Magesh,INR
2786,Complete manufacturing of Pin Wheel 1 for ESP,SriVidhya Fabricators,22989,Monthly,4.14,95174.46,78.36,1801418.04,2024-06-17,BHEL Ranipet L1,Magesh,INR
2787,Complete manufacturing of Foundation Bolt for ESP,Tetakisu,564,One time,1.01,569.64,1119.66,631488.24,2024-07-11,BHEL Ranipet L1,Srividhya,INR
2788,Complete manufacturing of Pin Wheel 1 for ESP,SriVidhya Fabricators,15358,One time,15.05,231137.9,1243.76,19101666.08,2024-01-02,BHEL Haridwar P3,Kumar,INR
2789,Complete manufacturing of Supporting Bracket for ESP,Sub Contractor,4475,Quarterly,3.42,15304.5,1606.73,7190116.75,2024-01-12,BHEL Haridwar P3,Mani,INR
2790,Complete manufacturing of Bearings for ESP,Tetakisu,8203,One time,17.3,141911.9,443.01,3634011.03,2024-08-21,BHEL Haridwar P3,Kumar,INR
2791,Complete manufacturing of Pin Wheel 1 for ESP,SriVidhya Fabricators,24748,Monthly,15.64,387058.72,807.0,19971636.0,2024-10-04,BHEL Haridwar P3,Srividhya,INR
2792,Complete manufacturing of Shaft I for ESP,Sub Contractor,18444,Quarterly,12.26,226123.44,553.13,10201929.72,2024-05-05,BHEL Ranipet L1,Mani,INR
2793,Complete manufacturing of Grip Coupling for ESP,Cando Engineering,22923,One time,6.6,151291.8,281.54,6453741.42,2024-02-19,BHEL Haridwar P3,Magesh,INR
2794,Complete manufacturing of Bearings for ESP,Sub Contractor,3649,Monthly,22.12,80715.88,670.76,2447603.24,2024-12-05,BHEL Haridwar P3,Kumar,INR
2795,Complete manufacturing of Pin Wheel 1 for ESP,Cando Engineering,23250,Quarterly,8.58,199485.0,325.97,7578802.5,2024-10-20,BHEL Trichy T2,Magesh,INR
2796,Complete manufacturing of Grip Coupling for ESP,Tetakisu,21337,Quarterly,20.22,431434.14,1346.22,28724296.14,2024-02-05,BHEL Trichy T2,Magesh,INR
2797,Complete manufacturing of Shaft I for ESP,Tetakisu,9600,Quarterly,10.57,101472.0,920.63,8838048.0,2024-07-11,BHEL Haridwar P3,Kumar,INR
2798,Complete manufacturing of Supporting Bracket for ESP,Cando Engineering,9785,Monthly,22.32,218401.2,583.01,5704752.85,2024-07-26,BHEL Trichy T2,Ravi,INR
2799,Complete manufacturing of Shaft for ESP,Sub Contractor,3629,One time,13.99,50769.71,570.64,2070852.56,2024-11-25,BHEL Haridwar P3,Mani,INR
2800,Complete manufacturing of Foundation Bolt for ESP,Tetakisu,23645,Monthly,22.8,539106.0,1393.0,32937485.0,2024-03-18,BHEL Ranipet L1,Magesh,INR
2801,Complete manufacturing of Supporting Bracket for ESP,SriVidhya Fabricators,20044,Quarterly,24.22,485465.68,341.12,6837409.28,2024-07-19,BHEL Ranipet L1,Mani,INR
2802,Complete manufacturing of Supporting Bracket for ESP,Cando Engineering,16910,One time,12.67,214249.7,1393.21,23559181.1,2024-03-10,BHEL Trichy T2,Magesh,INR
2803,Complete manufacturing of Foundation Bolt for ESP,Cando Engineering,21378,One time,10.58,226179.24,361.55,7729215.9,2024-04-23,BHEL Trichy T2,Ravi,INR
2804,Complete manufacturing of Grip Coupling for ESP,Sub Contractor,10155,One time,4.41,44783.55,234.67,2383073.85,2025-01-30,BHEL Haridwar P3,Magesh,INR
2805,Complete manufacturing of Supporting Bracket for ESP,Cando Engineering,4012,Monthly,3.35,13440.2,866.41,3476036.92,2024-02-05,BHEL Haridwar P3,Magesh,INR
2806,Complete manufacturing of Foundation Bolt for ESP,Cando Engineering,11836,Monthly,0.94,11125.84,1347.84,15953034.24,2024-07-22,BHEL Ranipet L1,Mani,INR
2807,Complete manufacturing of Grip Coupling for ESP,SriVidhya Fabricators,20213,One time,5.87,118650.31,565.78,11436111.14,2024-07-28,BHEL Ranipet L1,Mani,INR
2808,Complete manufacturing of Grip Coupling for ESP,Tetakisu,18901,One time,13.3,251383.3,943.65,17835928.65,2024-01-16,BHEL Ranipet L1,Magesh,INR
2809,Complete manufacturing of Shaft for ESP,Tetakisu,19105,Monthly,24.76,473039.8,1272.94,24319518.7,2024-02-05,BHEL Trichy T2,Mani,INR
2810,Complete manufacturing of Shaft for ESP,Sub Contractor,21958,Quarterly,23.69,520185.02,1444.89,31726894.62,2024-01-06,BHEL Trichy T2,Ravi,INR
2811,Complete manufacturing of Bearings for ESP,Cando Engineering,7852,Monthly,22.88,179653.76,1520.14,11936139.28,2024-06-08,BHEL Trichy T2,Mani,INR
2812,Complete manufacturing of Shaft I for ESP,Tetakisu,5229,Quarterly,10.76,56264.04,476.59,2492089.11,2024-11-20,BHEL Trichy T2,Ravi,INR
2813,Complete manufacturing of Foundation Bolt for ESP,Sub Contractor,4008,Monthly,2.66,10661.28,511.37,2049570.96,2024-07-06,BHEL Trichy T2,Magesh,INR
2814,Complete manufacturing of Pin Wheel 1 for ESP,Cando Engineering,16615,One time,6.86,113978.9,731.96,12161515.4,2024-08-03,BHEL Ranipet L1,Ravi,INR
2815,Complete manufacturing of Bearings for ESP,Tetakisu,5847,Quarterly,19.04,111326.88,1511.43,8837331.21,2024-03-05,BHEL Trichy T2,Magesh,INR
2816,Complete manufacturing of Bearings for ESP,SriVidhya Fabricators,624,Monthly,10.1,6302.4,865.7,540196.8,2025-02-18,BHEL Trichy T2,Srividhya,INR
2817,Complete manufacturing of Pin Wheel 1 for ESP,SriVidhya Fabricators,5501,One time,7.26,39937.26,199.35,1096624.35,2024-11-14,BHEL Trichy T2,Ravi,INR
2818,Complete manufacturing of Foundation Bolt for ESP,SriVidhya Fabricators,17232,Quarterly,19.86,342227.52,622.23,10722267.36,2024-08-27,BHEL Ranipet L1,Magesh,INR
2819,Complete manufacturing of Supporting Bracket for ESP,Sub Contractor,21442,One time,9.36,200697.12,121.17,2598127.14,2024-02-25,BHEL Haridwar P3,Srividhya,INR
2820,Complete manufacturing of Supporting Bracket for ESP,SriVidhya Fabricators,10374,One time,3.58,37138.92,660.75,6854620.5,2024-05-19,BHEL Ranipet L1,Srividhya,INR
2821,Complete manufacturing of Grip Coupling for ESP,Cando Engineering,24291,Quarterly,22.03,535130.73,1520.11,36924992.01,2024-10-07,BHEL Ranipet L1,Mani,INR
2822,Complete manufacturing of Shaft for ESP,Sub Contractor,11519,Monthly,11.1,127860.9,542.92,6253895.48,2025-01-12,BHEL Trichy T2,Magesh,INR
2823,Complete manufacturing of Shaft I for ESP,Cando Engineering,19336,One time,0.92,17789.12,829.36,16036504.96,2024-12-19,BHEL Trichy T2,Srividhya,INR
2824,Complete manufacturing of Pin Wheel 1 for ESP,Sub Contractor,4554,One time,16.93,77099.22,1244.3,5666542.2,2025-01-31,BHEL Ranipet L1,Kumar,INR
2825,Complete manufacturing of Supporting Bracket for ESP,Sub Contractor,17906,One time,11.86,212365.16,54.92,983397.52,2024-12-08,BHEL Trichy T2,Magesh,INR
2826,Complete manufacturing of Shaft I for ESP,Tetakisu,11554,Monthly,14.88,171923.52,610.63,7055219.02,2025-03-23,BHEL Haridwar P3,Magesh,INR
2827,Complete manufacturing of Pin Wheel 1 for ESP,Sub Contractor,17809,Monthly,7.29,129827.61,1612.67,28720040.03,2024-10-01,BHEL Ranipet L1,Ravi,INR
2828,Complete manufacturing of Bearings for ESP,Cando Engineering,1099,Quarterly,21.25,23353.75,1642.29,1804876.71,2024-01-23,BHEL Ranipet L1,Mani,INR
2829,Complete manufacturing of Shaft for ESP,Cando Engineering,10690,One time,16.58,177240.2,593.98,6349646.2,2025-02-14,BHEL Haridwar P3,Magesh,INR
2830,Complete manufacturing of Shaft for ESP,Sub Contractor,4381,Monthly,10.34,45299.54,656.36,2875513.16,2025-01-15,BHEL Haridwar P3,Ravi,INR
2831,Complete manufacturing of Grip Coupling for ESP,Tetakisu,16774,One time,2.96,49651.04,1473.46,24715818.04,2025-03-22,BHEL Haridwar P3,Ravi,INR
2832,Complete manufacturing of Grip Coupling for ESP,Sub Contractor,7139,One time,2.03,14492.17,1412.79,10085907.81,2024-02-23,BHEL Haridwar P3,Ravi,INR
2833,Complete manufacturing of Supporting Bracket for ESP,Sub Contractor,3127,One time,20.29,63446.83,113.25,354132.75,2024-01-07,BHEL Ranipet L1,Srividhya,INR
2834,Complete manufacturing of Bearings for ESP,Sub Contractor,8387,One time,18.88,158346.56,1017.94,8537462.78,2024-02-20,BHEL Haridwar P3,Ravi,INR
2835,Complete manufacturing of Foundation Bolt for ESP,SriVidhya Fabricators,1993,Monthly,3.07,6118.51,1279.16,2549365.88,2024-07-17,BHEL Ranipet L1,Srividhya,INR
2836,Complete manufacturing of Pin Wheel 1 for ESP,Sub Contractor,24150,Monthly,6.83,164944.5,1184.58,28607607.0,2024-05-25,BHEL Haridwar P3,Ravi,INR
2837,Complete manufacturing of Foundation Bolt for ESP,Cando Engineering,12449,One time,15.9,197939.1,200.23,2492663.27,2024-08-12,BHEL Trichy T2,Magesh,INR
2838,Complete manufacturing of Shaft I for ESP,Tetakisu,23639,One time,1.05,24820.95,1849.12,43711347.68,2024-10-12,BHEL Haridwar P3,Ravi,INR
2839,Complete manufacturing of Supporting Bracket for ESP,Sub Contractor,15955,One time,19.6,312718.0,1217.55,19426010.25,2024-01-29,BHEL Haridwar P3,Magesh,INR
2840,Complete manufacturing of Bearings for ESP,Sub Contractor,14115,One time,10.96,154700.4,1127.42,15913533.3,2024-09-19,BHEL Ranipet L1,Kumar,INR
2841,Complete manufacturing of Bearings for ESP,Tetakisu,4752,One time,17.08,81164.16,1764.27,8383811.04,2024-10-28,BHEL Haridwar P3,Ravi,INR
2842,Complete manufacturing of Shaft I for ESP,SriVidhya Fabricators,16569,One time,13.62,225669.78,996.07,16503883.83,2025-03-04,BHEL Ranipet L1,Mani,INR
2843,Complete manufacturing of Bearings for ESP,SriVidhya Fabricators,18838,One time,22.54,424608.52,63.6,1198096.8,2025-02-12,BHEL Trichy T2,Kumar,INR
2844,Complete manufacturing of Grip Coupling for ESP,Cando Engineering,12030,Quarterly,21.74,261532.2,1025.98,12342539.4,2024-01-08,BHEL Ranipet L1,Srividhya,INR
2845,Complete manufacturing of Pin Wheel 1 for ESP,Cando Engineering,6862,One time,5.73,39319.26,820.76,5632055.12,2024-04-05,BHEL Ranipet L1,Mani,INR
2846,Complete manufacturing of Bearings for ESP,Sub Contractor,13097,Monthly,16.89,221208.33,795.73,10421675.81,2024-06-29,BHEL Trichy T2,Srividhya,INR
2847,Complete manufacturing of Bearings for ESP,SriVidhya Fabricators,1152,Quarterly,20.12,23178.24,1380.37,1590186.24,2024-07-01,BHEL Ranipet L1,Ravi,INR
2848,Complete manufacturing of Supporting Bracket for ESP,Sub Contractor,8557,Monthly,21.32,182435.24,1833.06,15685494.42,2024-07-05,BHEL Haridwar P3,Magesh,INR
2849,Complete manufacturing of Grip Coupling for ESP,Cando Engineering,2299,Monthly,3.33,7655.67,842.82,1937643.18,2024-06-01,BHEL Ranipet L1,Ravi,INR
2850,Complete manufacturing of Grip Coupling for ESP,Sub Contractor,16239,One time,5.83,94673.37,759.76,12337742.64,2025-02-20,BHEL Haridwar P3,Kumar,INR
2851,Complete manufacturing of Foundation Bolt for ESP,Cando Engineering,5629,Quarterly,21.29,119841.41,1420.49,7995938.21,2024-12-21,BHEL Ranipet L1,Kumar,INR
2852,Complete manufacturing of Supporting Bracket for ESP,Tetakisu,19436,One time,7.57,147130.52,1717.79,33386966.44,2024-09-14,BHEL Ranipet L1,Magesh,INR
2853,Complete manufacturing of Grip Coupling for ESP,Sub Contractor,10377,One time,18.6,193012.2,1221.34,12673845.18,2025-02-18,BHEL Ranipet L1,Mani,INR
2854,Complete manufacturing of Shaft I for ESP,Tetakisu,2035,One time,2.97,6043.95,1827.6,3719166.0,2024-07-12,BHEL Trichy T2,Srividhya,INR
2855,Complete manufacturing of Foundation Bolt for ESP,SriVidhya Fabricators,23381,Quarterly,10.4,243162.4,1598.67,37378503.27,2024-04-28,BHEL Haridwar P3,Kumar,INR
2856,Complete manufacturing of Foundation Bolt for ESP,Cando Engineering,8124,Quarterly,13.97,113492.28,232.27,1886961.48,2024-06-15,BHEL Ranipet L1,Mani,INR
2857,Complete manufacturing of Foundation Bolt for ESP,Cando Engineering,16840,Quarterly,6.86,115522.4,1987.57,33470678.8,2024-09-08,BHEL Haridwar P3,Kumar,INR
2858,Complete manufacturing of Foundation Bolt for ESP,SriVidhya Fabricators,4506,Quarterly,12.08,54432.48,1126.03,5073891.18,2024-06-13,BHEL Haridwar P3,Mani,INR
2859,Complete manufacturing of Shaft for ESP,Sub Contractor,15214,Quarterly,8.57,130383.98,242.04,3682396.56,2024-04-29,BHEL Haridwar P3,Srividhya,INR
2860,Complete manufacturing of Foundation Bolt for ESP,SriVidhya Fabricators,17103,One time,8.86,151532.58,556.21,9512859.63,2024-07-11,BHEL Haridwar P3,Mani,INR
2861,Complete manufacturing of Foundation Bolt for ESP,SriVidhya Fabricators,5768,One time,18.49,106650.32,86.78,500547.04,2024-05-31,BHEL Trichy T2,Ravi,INR
2862,Complete manufacturing of Foundation Bolt for ESP,Cando Engineering,9681,Quarterly,19.44,188198.64,963.7,9329579.7,2024-01-19,BHEL Trichy T2,Mani,INR
2863,Complete manufacturing of Bearings for ESP,Sub Contractor,1395,Quarterly,5.49,7658.55,1662.47,2319145.65,2024-08-25,BHEL Ranipet L1,Srividhya,INR
2864,Complete manufacturing of Bearings for ESP,Cando Engineering,21875,Quarterly,13.52,295750.0,1300.37,28445593.75,2024-04-27,BHEL Trichy T2,Mani,INR
2865,Complete manufacturing of Shaft for ESP,Sub Contractor,16447,Quarterly,8.02,131904.94,495.13,8143403.11,2024-01-09,BHEL Ranipet L1,Ravi,INR
2866,Complete manufacturing of Shaft I for ESP,Sub Contractor,10386,Monthly,21.24,220598.64,1426.07,14811163.02,2024-12-09,BHEL Ranipet L1,Ravi,INR
2867,Complete manufacturing of Grip Coupling for ESP,Tetakisu,18936,One time,8.64,163607.04,1552.63,29400601.68,2024-07-20,BHEL Haridwar P3,Kumar,INR
2868,Complete manufacturing of Bearings for ESP,Tetakisu,15274,One time,14.1,215363.4,1676.12,25601056.88,2024-01-24,BHEL Trichy T2,Ravi,INR
2869,Complete manufacturing of Bearings for ESP,Cando Engineering,4959,One time,11.41,56582.19,1790.12,8877205.08,2024-12-15,BHEL Ranipet L1,Magesh,INR
2870,Complete manufacturing of Bearings for ESP,Sub Contractor,23647,One time,23.61,558305.67,456.08,10784923.76,2024-10-07,BHEL Trichy T2,Ravi,INR
2871,Complete manufacturing of Bearings for ESP,Tetakisu,12235,Monthly,3.57,43678.95,1791.58,21919981.3,2024-08-08,BHEL Haridwar P3,Kumar,INR
2872,Complete manufacturing of Foundation Bolt for ESP,SriVidhya Fabricators,20402,One time,10.46,213404.92,1360.05,27747740.1,2024-01-16,BHEL Trichy T2,Kumar,INR
2873,Complete manufacturing of Supporting Bracket for ESP,SriVidhya Fabricators,19876,Monthly,6.23,123827.48,162.19,3223688.44,2024-06-20,BHEL Trichy T2,Magesh,INR
2874,Complete manufacturing of Shaft I for ESP,Sub Contractor,11865,One time,17.34,205739.1,1890.0,22424850.0,2024-11-05,BHEL Ranipet L1,Ravi,INR
2875,Complete manufacturing of Shaft for ESP,SriVidhya Fabricators,24820,One time,23.95,594439.0,688.38,17085591.6,2025-03-13,BHEL Trichy T2,Ravi,INR
2876,Complete manufacturing of Shaft I for ESP,Sub Contractor,10798,One time,17.2,185725.6,1488.84,16076494.32,2024-07-29,BHEL Trichy T2,Mani,INR
2877,Complete manufacturing of Pin Wheel 1 for ESP,SriVidhya Fabricators,16890,Monthly,22.1,373269.0,1024.63,17306000.7,2024-06-22,BHEL Trichy T2,Srividhya,INR
2878,Complete manufacturing of Shaft for ESP,SriVidhya Fabricators,3022,Monthly,17.76,53670.72,103.86,313864.92,2025-03-01,BHEL Haridwar P3,Srividhya,INR
2879,Complete manufacturing of Shaft for ESP,Tetakisu,16125,One time,21.58,347977.5,1511.68,24375840.0,2024-03-07,BHEL Trichy T2,Magesh,INR
2880,Complete manufacturing of Shaft for ESP,Sub Contractor,23639,One time,4.8,113467.2,1304.76,30843221.64,2024-09-03,BHEL Ranipet L1,Mani,INR
2881,Complete manufacturing of Foundation Bolt for ESP,Sub Contractor,15730,Quarterly,16.46,258915.8,1005.69,15819503.7,2024-11-06,BHEL Ranipet L1,Ravi,INR
2882,Complete manufacturing of Grip Coupling for ESP,SriVidhya Fabricators,5886,One time,19.6,115365.6,357.35,2103362.1,2024-10-05,BHEL Trichy T2,Mani,INR
2883,Complete manufacturing of Shaft I for ESP,Cando Engineering,18603,Quarterly,14.64,272347.92,503.74,9371075.22,2024-07-10,BHEL Ranipet L1,Mani,INR
2884,Complete manufacturing of Foundation Bolt for ESP,SriVidhya Fabricators,19459,One time,5.58,108581.22,1720.13,33472009.67,2024-04-01,BHEL Ranipet L1,Mani,INR
2885,Complete manufacturing of Shaft for ESP,SriVidhya Fabricators,19133,Monthly,0.84,16071.72,1993.92,38149671.36,2024-05-16,BHEL Ranipet L1,Ravi,INR
2886,Complete manufacturing of Shaft I for ESP,SriVidhya Fabricators,3037,One time,10.85,32951.45,99.28,301513.36,2024-02-06,BHEL Trichy T2,Ravi,INR
2887,Complete manufacturing of Foundation Bolt for ESP,Sub Contractor,7579,One time,10.3,78063.7,428.34,3246388.86,2025-02-02,BHEL Ranipet L1,Srividhya,INR
2888,Complete manufacturing of Pin Wheel 1 for ESP,Sub Contractor,1578,Quarterly,14.79,23338.62,456.92,721019.76,2024-07-30,BHEL Trichy T2,Magesh,INR
2889,Complete manufacturing of Shaft I for ESP,Cando Engineering,12844,Monthly,5.98,76807.12,270.61,3475714.84,2025-02-17,BHEL Trichy T2,Magesh,INR
2890,Complete manufacturing of Supporting Bracket for ESP,Cando Engineering,15035,Quarterly,24.48,368056.8,1835.97,27603808.95,2024-01-03,BHEL Haridwar P3,Magesh,INR
2891,Complete manufacturing of Supporting Bracket for ESP,Sub Contractor,24795,Quarterly,19.03,471848.85,683.94,16958292.3,2024-02-01,BHEL Ranipet L1,Srividhya,INR
2892,Complete manufacturing of Supporting Bracket for ESP,Cando Engineering,4062,Monthly,15.29,62107.98,1489.41,6049983.42,2024-04-25,BHEL Ranipet L1,Ravi,INR
2893,Complete manufacturing of Pin Wheel 1 for ESP,Tetakisu,16663,One time,13.75,229116.25,219.66,3660194.58,2024-10-20,BHEL Ranipet L1,Ravi,INR
2894,Complete manufacturing of Shaft for ESP,Cando Engineering,21871,One time,7.81,170812.51,1556.19,34035431.49,2025-02-22,BHEL Trichy T2,Mani,INR
2895,Complete manufacturing of Shaft for ESP,SriVidhya Fabricators,24044,Quarterly,11.59,278669.96,1309.47,31484896.68,2025-02-25,BHEL Ranipet L1,Ravi,INR
2896,Complete manufacturing of Foundation Bolt for ESP,Tetakisu,18619,Monthly,7.94,147834.86,1955.6,36411316.4,2024-10-28,BHEL Trichy T2,Srividhya,INR
2897,Complete manufacturing of Supporting Bracket for ESP,Cando Engineering,1266,Quarterly,18.21,23053.86,1036.05,1311639.3,2024-10-06,BHEL Trichy T2,Srividhya,INR
2898,Complete manufacturing of Foundation Bolt for ESP,Sub Contractor,14219,Monthly,12.63,179585.97,758.61,10786675.59,2024-07-30,BHEL Ranipet L1,Magesh,INR
2899,Complete manufacturing of Grip Coupling for ESP,Sub Contractor,22294,Monthly,23.1,514991.4,1151.84,25679120.96,2025-03-07,BHEL Ranipet L1,Kumar,INR
2900,Complete manufacturing of Grip Coupling for ESP,Tetakisu,6600,One time,22.65,149490.0,1564.43,10325238.0,2024-06-02,BHEL Ranipet L1,Kumar,INR
2901,Complete manufacturing of Grip Coupling for ESP,Cando Engineering,8988,Monthly,14.52,130505.76,117.46,1055730.48,2024-04-25,BHEL Ranipet L1,Magesh,INR
2902,Complete manufacturing of Shaft I for ESP,Tetakisu,8602,One time,4.75,40859.5,1916.94,16489517.88,2024-05-05,BHEL Trichy T2,Mani,INR
2903,Complete manufacturing of Grip Coupling for ESP,Tetakisu,12763,Monthly,20.23,258195.49,720.9,9200846.7,2024-01-31,BHEL Ranipet L1,Kumar,INR
2904,Complete manufacturing of Pin Wheel 1 for ESP,Tetakisu,11563,Quarterly,8.55,98863.65,1449.93,16765540.59,2024-01-18,BHEL Ranipet L1,Ravi,INR
2905,Complete manufacturing of Supporting Bracket for ESP,Cando Engineering,23278,One time,15.78,367326.84,1522.35,35437263.3,2024-05-05,BHEL Ranipet L1,Magesh,INR
2906,Complete manufacturing of Shaft I for ESP,Tetakisu,13414,One time,15.01,201344.14,307.91,4130304.74,2025-02-19,BHEL Haridwar P3,Mani,INR
2907,Complete manufacturing of Shaft I for ESP,Tetakisu,4512,One time,20.88,94210.56,1587.89,7164559.68,2025-01-20,BHEL Trichy T2,Mani,INR
2908,Complete manufacturing of Shaft for ESP,Sub Contractor,15059,Quarterly,18.91,284765.69,816.0,12288144.0,2025-03-23,BHEL Haridwar P3,Kumar,INR
2909,Complete manufacturing of Supporting Bracket for ESP,Tetakisu,2349,One time,3.99,9372.51,1935.61,4546747.89,2024-07-24,BHEL Ranipet L1,Mani,INR
